rank,selector,model,mean_cv_score,std_cv_score,params
1,EmbeddedDTSelector,RandomForestClassifier,0.73368,0.00073,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 384, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 11, 'selector__soglia': 'median'}"
2,MutualInfoSelector,RandomForestClassifier,0.73347,0.00073,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 4, 'model__n_estimators': 217, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 36}"
3,AllFeaturesSelector,RandomForestClassifier,0.73333,0.00095,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 356, 'selector': AllFeaturesSelector()}"
4,AllFeaturesSelector,RandomForestClassifier,0.73299,0.00104,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 3, 'model__n_estimators': 103, 'selector': AllFeaturesSelector()}"
5,ReliefFSelector,RandomForestClassifier,0.73214,0.00053,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 135, 'selector': ReliefFSelector(verbose=False), 'selector__k': 32, 'selector__n_neighbors': 6, 'selector__n_samples': 500}"
6,AllFeaturesSelector,RandomForestClassifier,0.73202,0.00089,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 6, 'model__n_estimators': 358, 'selector': AllFeaturesSelector()}"
7,ReliefFSelector,RandomForestClassifier,0.73199,0.0011,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 4, 'model__n_estimators': 363, 'selector': ReliefFSelector(verbose=False), 'selector__k': 28, 'selector__n_neighbors': 18, 'selector__n_samples': 2000}"
8,ReliefFSelector,RandomForestClassifier,0.73194,0.00066,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__n_estimators': 387, 'selector': ReliefFSelector(verbose=False), 'selector__k': 37, 'selector__n_neighbors': 19, 'selector__n_samples': 1000}"
9,ReliefFSelector,RandomForestClassifier,0.73184,0.00121,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 154, 'selector': ReliefFSelector(verbose=False), 'selector__k': 33, 'selector__n_neighbors': 12, 'selector__n_samples': 2000}"
10,MutualInfoSelector,RandomForestClassifier,0.73151,0.00065,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 260, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 20}"
11,MutualInfoSelector,RandomForestClassifier,0.73135,0.00149,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 9, 'model__n_estimators': 390, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 34}"
12,ReliefFSelector,RandomForestClassifier,0.73124,0.00062,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 9, 'model__n_estimators': 385, 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 5, 'selector__n_samples': 1000}"
13,ReliefFSelector,RandomForestClassifier,0.73108,0.00051,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 8, 'model__n_estimators': 255, 'selector': ReliefFSelector(verbose=False), 'selector__k': 35, 'selector__n_neighbors': 12, 'selector__n_samples': 1000}"
14,MutualInfoSelector,RandomForestClassifier,0.73011,0.00126,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 9, 'model__n_estimators': 395, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 22}"
15,EmbeddedDTSelector,RandomForestClassifier,0.72754,0.00133,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 177, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 16, 'selector__soglia': 'mean'}"
16,ReliefFSelector,RandomForestClassifier,0.72724,0.00113,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 7, 'model__n_estimators': 354, 'selector': ReliefFSelector(verbose=False), 'selector__k': 22, 'selector__n_neighbors': 10, 'selector__n_samples': 500}"
17,AllFeaturesSelector,RandomForestClassifier,0.72663,0.00048,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__n_estimators': 316, 'selector': AllFeaturesSelector()}"
18,AllFeaturesSelector,RandomForestClassifier,0.72628,0.00081,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 189, 'selector': AllFeaturesSelector()}"
19,SFSSelector,RandomForestClassifier,0.7262,0.00045,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__n_estimators': 208, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 13, 'selector__max_depth_dt': 11}"
20,EmbeddedDTSelector,RandomForestClassifier,0.72595,0.00072,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 3, 'model__n_estimators': 112, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 19, 'selector__soglia': 'median'}"
21,EmbeddedDTSelector,RandomForestClassifier,0.72573,0.00163,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 4, 'model__n_estimators': 191, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 19, 'selector__soglia': 0.01}"
22,EmbeddedDTSelector,RandomForestClassifier,0.72551,0.00118,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 7, 'model__n_estimators': 226, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 16, 'selector__soglia': 0.01}"
23,MutualInfoSelector,RandomForestClassifier,0.72486,0.00085,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 9, 'model__n_estimators': 196, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 19}"
24,ReliefFSelector,RandomForestClassifier,0.72484,0.00162,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 261, 'selector': ReliefFSelector(verbose=False), 'selector__k': 15, 'selector__n_neighbors': 11, 'selector__n_samples': 2000}"
25,MutualInfoSelector,RandomForestClassifier,0.72418,0.00061,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 366, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 22}"
26,EmbeddedDTSelector,RandomForestClassifier,0.72417,0.0021,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 9, 'model__n_estimators': 127, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 14, 'selector__soglia': 'mean'}"
27,SFSSelector,RandomForestClassifier,0.72377,0.00125,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__n_estimators': 143, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 19, 'selector__max_depth_dt': 10}"
28,SFSSelector,RandomForestClassifier,0.72374,0.00461,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__n_estimators': 248, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 15, 'selector__max_depth_dt': 9}"
29,SFSSelector,RandomForestClassifier,0.72227,0.00259,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__n_estimators': 289, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 23, 'selector__max_depth_dt': 6}"
30,AllFeaturesSelector,RandomForestClassifier,0.72226,0.00032,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 6, 'model__n_estimators': 358, 'selector': AllFeaturesSelector()}"
31,EmbeddedDTSelector,RandomForestClassifier,0.7203,0.00068,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 103, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 15, 'selector__soglia': 'median'}"
32,AllFeaturesSelector,AdaBoostClassifier,0.72029,0.00161,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 288, 'selector': AllFeaturesSelector()}"
33,AllFeaturesSelector,AdaBoostClassifier,0.71994,0.00136,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 252, 'selector': AllFeaturesSelector()}"
34,MutualInfoSelector,AdaBoostClassifier,0.71967,0.00137,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 251, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 33}"
35,MutualInfoSelector,AdaBoostClassifier,0.71929,0.00107,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 226, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 27}"
36,AllFeaturesSelector,AdaBoostClassifier,0.71916,0.00174,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 142, 'selector': AllFeaturesSelector()}"
37,AllFeaturesSelector,AdaBoostClassifier,0.71893,0.00067,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 111, 'selector': AllFeaturesSelector()}"
38,SFSSelector,AdaBoostClassifier,0.71889,0.00162,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 299, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 15, 'selector__max_depth_dt': 10}"
39,EmbeddedDTSelector,AdaBoostClassifier,0.71829,0.00148,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 157, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 14, 'selector__soglia': 0.01}"
40,EmbeddedDTSelector,AdaBoostClassifier,0.71827,0.00157,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 292, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 0.005}"
41,SFSSelector,RandomForestClassifier,0.71792,0.00371,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 20, 'model__n_estimators': 200, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 12, 'selector__max_depth_dt': 5}"
42,ReliefFSelector,AdaBoostClassifier,0.71769,0.00121,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 167, 'selector': ReliefFSelector(verbose=False), 'selector__k': 30, 'selector__n_neighbors': 12, 'selector__n_samples': 500}"
43,EmbeddedDTSelector,AdaBoostClassifier,0.71755,0.00087,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 218, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 12, 'selector__soglia': 0.01}"
44,SFSSelector,AdaBoostClassifier,0.71744,0.00112,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 274, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 24, 'selector__max_depth_dt': 9}"
45,EmbeddedDTSelector,AdaBoostClassifier,0.7174,0.00153,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.1, 'model__n_estimators': 231, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 15, 'selector__soglia': 'mean'}"
46,MutualInfoSelector,AdaBoostClassifier,0.71717,0.00134,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 232, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 25}"
47,SFSSelector,AdaBoostClassifier,0.71698,0.001,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 77, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 23, 'selector__max_depth_dt': 6}"
48,SFSSelector,AdaBoostClassifier,0.71681,0.00105,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 91, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 22, 'selector__max_depth_dt': 7}"
49,ReliefFSelector,AdaBoostClassifier,0.71664,0.00119,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.01, 'model__n_estimators': 295, 'selector': ReliefFSelector(verbose=False), 'selector__k': 36, 'selector__n_neighbors': 15, 'selector__n_samples': 1000}"
50,EmbeddedDTSelector,AdaBoostClassifier,0.71663,0.00136,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 285, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 11, 'selector__soglia': 0.01}"
51,EmbeddedDTSelector,AdaBoostClassifier,0.71663,0.00138,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 299, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 13, 'selector__soglia': 0.01}"
52,AllFeaturesSelector,AdaBoostClassifier,0.71661,0.00114,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 61, 'selector': AllFeaturesSelector()}"
53,AllFeaturesSelector,AdaBoostClassifier,0.71653,0.00063,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 69, 'selector': AllFeaturesSelector()}"
54,ReliefFSelector,AdaBoostClassifier,0.71623,0.00123,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 255, 'selector': ReliefFSelector(verbose=False), 'selector__k': 34, 'selector__n_neighbors': 7, 'selector__n_samples': 1000}"
55,ReliefFSelector,AdaBoostClassifier,0.71622,0.0013,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 162, 'selector': ReliefFSelector(verbose=False), 'selector__k': 39, 'selector__n_neighbors': 12, 'selector__n_samples': 500}"
56,MutualInfoSelector,AdaBoostClassifier,0.71582,0.00123,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.01, 'model__n_estimators': 243, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 29}"
57,AllFeaturesSelector,RandomForestClassifier,0.71572,0.00139,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 30, 'model__min_samples_leaf': 2, 'model__n_estimators': 214, 'selector': AllFeaturesSelector()}"
58,SFSSelector,AdaBoostClassifier,0.71562,0.00249,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.05, 'model__n_estimators': 160, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 17, 'selector__max_depth_dt': 5}"
59,EmbeddedDTSelector,AdaBoostClassifier,0.71557,0.00156,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 1.0, 'model__n_estimators': 279, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 14, 'selector__soglia': 0.02}"
60,ReliefFSelector,AdaBoostClassifier,0.71547,0.00138,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.5, 'model__n_estimators': 107, 'selector': ReliefFSelector(verbose=False), 'selector__k': 35, 'selector__n_neighbors': 6, 'selector__n_samples': 500}"
61,MutualInfoSelector,AdaBoostClassifier,0.71522,0.00016,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 289, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 30}"
62,MutualInfoSelector,AdaBoostClassifier,0.71517,0.00138,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.5, 'model__n_estimators': 136, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 35}"
63,ReliefFSelector,AdaBoostClassifier,0.71512,0.00168,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 1.0, 'model__n_estimators': 274, 'selector': ReliefFSelector(verbose=False), 'selector__k': 33, 'selector__n_neighbors': 14, 'selector__n_samples': 2000}"
64,SFSSelector,AdaBoostClassifier,0.71493,0.00067,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 1.0, 'model__n_estimators': 296, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 21, 'selector__max_depth_dt': 6}"
65,EmbeddedDTSelector,KNeighborsClassifier,0.71491,0.00069,"{'model': KNeighborsClassifier(), 'model__leaf_size': 41, 'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'uniform', 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 'mean'}"
66,AllFeaturesSelector,AdaBoostClassifier,0.71491,0.00026,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 1.0, 'model__n_estimators': 284, 'selector': AllFeaturesSelector()}"
67,AllFeaturesSelector,AdaBoostClassifier,0.71448,0.00052,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 264, 'selector': AllFeaturesSelector()}"
68,EmbeddedDTSelector,AdaBoostClassifier,0.71424,0.00113,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 242, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 10, 'selector__soglia': 0.02}"
69,ReliefFSelector,AdaBoostClassifier,0.71422,0.00144,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.01, 'model__n_estimators': 178, 'selector': ReliefFSelector(verbose=False), 'selector__k': 39, 'selector__n_neighbors': 15, 'selector__n_samples': 1000}"
70,AllFeaturesSelector,AdaBoostClassifier,0.71408,0.00158,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=3), 'model__learning_rate': 0.01, 'model__n_estimators': 168, 'selector': AllFeaturesSelector()}"
71,EmbeddedDTSelector,AdaBoostClassifier,0.71407,0.00166,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 173, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 8, 'selector__soglia': 'mean'}"
72,EmbeddedDTSelector,AdaBoostClassifier,0.71398,0.00242,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 262, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 12, 'selector__soglia': 0.02}"
73,EmbeddedDTSelector,AdaBoostClassifier,0.71382,0.00229,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 1.0, 'model__n_estimators': 95, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 12, 'selector__soglia': 0.005}"
74,ReliefFSelector,KNeighborsClassifier,0.71377,0.00053,"{'model': KNeighborsClassifier(), 'model__leaf_size': 29, 'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'uniform', 'selector': ReliefFSelector(verbose=False), 'selector__k': 16, 'selector__n_neighbors': 9, 'selector__n_samples': 500}"
