rank,selector,model,mean_cv_score,std_cv_score,params
105,SFSSelector,RandomForestClassifier,0.7102,0.00196,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__n_estimators': 194, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 12, 'selector__max_depth_dt': 8}"
106,SFSSelector,KNeighborsClassifier,0.70999,0.00257,"{'model': KNeighborsClassifier(), 'model__metric': 'euclidean', 'model__n_neighbors': 21, 'model__weights': 'uniform', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 13, 'selector__max_depth_dt': 5}"
107,ReliefFSelector,AdaBoostClassifier,0.70979,0.00132,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.05, 'model__n_estimators': 116, 'selector': ReliefFSelector(verbose=False), 'selector__k': 22, 'selector__n_neighbors': 18, 'selector__n_samples': 1000}"
108,MutualInfoSelector,AdaBoostClassifier,0.70963,0.00077,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.05, 'model__n_estimators': 94, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 39}"
109,MutualInfoSelector,KNeighborsClassifier,0.70948,0.00064,"{'model': KNeighborsClassifier(), 'model__leaf_size': 33, 'model__metric': 'manhattan', 'model__n_neighbors': 13, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 21}"
110,AllFeaturesSelector,AdaBoostClassifier,0.70927,0.0014,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.01, 'model__n_estimators': 280, 'selector': AllFeaturesSelector()}"
111,EmbeddedDTSelector,AdaBoostClassifier,0.70912,0.00174,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.05, 'model__n_estimators': 109, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 9, 'selector__soglia': 0.01}"
112,ReliefFSelector,AdaBoostClassifier,0.70902,0.00305,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.1, 'model__n_estimators': 87, 'selector': ReliefFSelector(verbose=False), 'selector__k': 16, 'selector__n_neighbors': 11, 'selector__n_samples': 1000}"
113,ReliefFSelector,RandomForestClassifier,0.70895,0.00776,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__n_estimators': 225, 'selector': ReliefFSelector(verbose=False), 'selector__k': 16, 'selector__n_neighbors': 9, 'selector__n_samples': 1000}"
114,MutualInfoSelector,AdaBoostClassifier,0.70882,0.00094,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.5, 'model__n_estimators': 79, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 37}"
115,MutualInfoSelector,AdaBoostClassifier,0.70853,0.00171,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=2), 'model__learning_rate': 0.05, 'model__n_estimators': 53, 'selector': MutualInfoSelector(verbose=False), 'selector__k': 36}"
116,MutualInfoSelector,KNeighborsClassifier,0.7084,0.00095,"{'model': KNeighborsClassifier(), 'model__leaf_size': 43, 'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 29}"
117,SFSSelector,AdaBoostClassifier,0.70824,0.0015,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.5, 'model__n_estimators': 60, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 24, 'selector__max_depth_dt': 6}"
118,MutualInfoSelector,KNeighborsClassifier,0.70808,0.00154,"{'model': KNeighborsClassifier(), 'model__leaf_size': 45, 'model__metric': 'euclidean', 'model__n_neighbors': 16, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 23}"
119,ReliefFSelector,KNeighborsClassifier,0.70787,0.0003,"{'model': KNeighborsClassifier(), 'model__leaf_size': 21, 'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform', 'selector': ReliefFSelector(verbose=False), 'selector__k': 35, 'selector__n_neighbors': 11, 'selector__n_samples': 1000}"
120,ReliefFSelector,KNeighborsClassifier,0.70751,0.00126,"{'model': KNeighborsClassifier(), 'model__leaf_size': 36, 'model__metric': 'manhattan', 'model__n_neighbors': 16, 'model__weights': 'uniform', 'selector': ReliefFSelector(verbose=False), 'selector__k': 31, 'selector__n_neighbors': 6, 'selector__n_samples': 2000}"
